"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 05 17:47:06 UTC 2025","Sat Jul 05 17:47:07 UTC 2025","138","","apitest.ApiTest","","apitest.ApiTest","test3_getBookingByName","test3_getBookingByName()",""
"passed","Sat Jul 05 17:46:46 UTC 2025","Sat Jul 05 17:46:47 UTC 2025","1263","","Homepage Functionality","","Homepage Functionality","Menampilkan menu navigasi dan kategori produk di halaman utama","Menampilkan menu navigasi dan kategori produk di halaman utama",""
"passed","Sat Jul 05 17:46:47 UTC 2025","Sat Jul 05 17:46:49 UTC 2025","2105","","Sign In Functionality","","SignIn Account Creation","","SignIn Account Creation",""
"passed","Sat Jul 05 17:47:04 UTC 2025","Sat Jul 05 17:47:06 UTC 2025","2755","","apitest.ApiTest","","apitest.ApiTest","test1_getToken","test1_getToken()",""
"passed","Sat Jul 05 17:46:23 UTC 2025","Sat Jul 05 17:46:38 UTC 2025","15322","","Add to Cart Functionality","","Add to Cart Functionality","Menambahkan produk ke keranjang","Menambahkan produk ke keranjang",""
"passed","Sat Jul 05 17:47:07 UTC 2025","Sat Jul 05 17:47:07 UTC 2025","68","","apitest.ApiTest","","apitest.ApiTest","test5_deleteBooking","test5_deleteBooking()",""
"passed","Sat Jul 05 17:46:49 UTC 2025","Sat Jul 05 17:46:56 UTC 2025","6738","","Sign In Functionality","","Login Tanpa Mengisi Username dan Password","","Login Tanpa Mengisi Username dan Password",""
"passed","Sat Jul 05 17:47:06 UTC 2025","Sat Jul 05 17:47:06 UTC 2025","87","","apitest.ApiTest","","apitest.ApiTest","test2_createBooking","test2_createBooking()",""
"passed","Sat Jul 05 17:46:38 UTC 2025","Sat Jul 05 17:46:46 UTC 2025","7391","","Add to Cart Functionality","","Add to Cart Functionality","Melakukan pemesanan","Melakukan pemesanan",""
"passed","Sat Jul 05 17:46:23 UTC 2025","Sat Jul 05 17:46:38 UTC 2025","15105","","Add to Cart Functionality","","Menambahkan produk ke keranjang","","Menambahkan produk ke keranjang",""
"passed","Sat Jul 05 17:46:38 UTC 2025","Sat Jul 05 17:46:46 UTC 2025","7375","","Add to Cart Functionality","","Melakukan pemesanan","","Melakukan pemesanan",""
"passed","Sat Jul 05 17:46:49 UTC 2025","Sat Jul 05 17:46:56 UTC 2025","6742","","Sign In Functionality","","Sign In Functionality","Login Tanpa Mengisi Username dan Password","Login Tanpa Mengisi Username dan Password",""
"passed","Sat Jul 05 17:46:46 UTC 2025","Sat Jul 05 17:46:47 UTC 2025","1252","","Homepage Functionality","","Menampilkan menu navigasi dan kategori produk di halaman utama","","Menampilkan menu navigasi dan kategori produk di halaman utama",""
"passed","Sat Jul 05 17:47:07 UTC 2025","Sat Jul 05 17:47:07 UTC 2025","75","","apitest.ApiTest","","apitest.ApiTest","test4_updateBooking","test4_updateBooking()",""
"passed","Sat Jul 05 17:46:47 UTC 2025","Sat Jul 05 17:46:49 UTC 2025","2115","","Sign In Functionality","","Sign In Functionality","SignIn Account Creation","SignIn Account Creation",""
